# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 16:09:29 2025
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_ror_err1:   Planet-Star Radius Ratio Upper Unc.
# COLUMN koi_ror_err2:   Planet-Star Radius Ratio Lower Unc.
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_srho_err1:  Fitted Stellar Density Upper Unc. [g/cm**3]
# COLUMN koi_srho_err2:  Fitted Stellar Density Lower Unc. [g/cm**3]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
loc_rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
293,9466668,K00939.02,CONFIRMED,CANDIDATE,1.0000,5.839097610,2.0220000e-05,-2.0220000e-05,3.19150,0.08990,-0.08990,2.7360e+02,1.160e+01,-1.160e+01,0.015116,4.260000e-04,-5.860000e-04,1.32836,0.38613,-0.29354,2.06,3.300e-01,-3.900e-01,0.0624,,,1097.0,,,341.48,153.14,-134.02,5553.00,111.00,0.00,4.221,0.188,-0.101,1.2500,0.1960,-0.2400,0.9490,0.0800,-0.0460
294,9466668,K00939.03,CONFIRMED,CANDIDATE,1.0000,1.620467654,5.9240000e-06,-5.9240000e-06,2.18880,0.09950,-0.09950,1.5960e+02,8.300e+00,-8.300e+00,0.011493,4.930000e-04,-4.360000e-04,1.23000,0.33485,-0.42565,1.57,2.400e-01,-3.000e-01,0.0265,,,1681.0,,,1893.42,849.07,-743.10,5553.00,111.00,0.00,4.221,0.188,-0.101,1.2500,0.1960,-0.2400,0.9490,0.0800,-0.0460
295,9466668,K00939.04,CONFIRMED,CANDIDATE,1.0000,10.681695100,5.1740000e-05,-5.1740000e-05,3.60500,0.11000,-0.11000,3.0780e+02,1.460e+01,-1.460e+01,0.016847,3.016000e-03,-1.011000e-03,0.93471,1.01773,-0.78595,2.30,3.600e-01,-4.400e-01,0.0933,,,897.0,,,152.75,68.50,-59.95,5553.00,111.00,0.00,4.221,0.188,-0.101,1.2500,0.1960,-0.2400,0.9490,0.0800,-0.0460
296,9479273,K00940.01,CONFIRMED,CANDIDATE,1.0000,6.104849417,2.7110000e-06,-2.7110000e-06,4.69120,0.01430,-0.01430,2.0903e+03,8.100e+00,-8.100e+00,0.040920,3.530000e-04,-1.390000e-04,0.56409,0.00185,-0.06304,3.18,1.700e-01,-1.900e-01,0.0583,,,784.0,,,89.25,17.97,-16.37,5085.00,102.00,-102.00,4.584,0.048,-0.032,0.7120,0.0380,-0.0420,0.7100,0.0480,-0.0310
297,8359498,K00127.01,CONFIRMED,CANDIDATE,0.9990,3.578780566,1.8300000e-07,-1.8300000e-07,2.91089,0.00147,-0.00147,1.1382e+04,7.200e+00,-7.200e+00,0.096067,2.030000e-04,-7.400000e-05,1.60801,0.01398,-0.03608,10.43,6.200e-01,-6.200e-01,0.0450,,,1145.0,,,406.60,87.15,-74.65,5524.00,110.00,-110.00,4.421,0.050,-0.045,0.9940,0.0590,-0.0590,0.9500,0.0580,-0.0580
298,9171801,K00933.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,3.187067566,8.7990000e-06,-8.7990000e-06,3.11900,0.12400,-0.12400,1.0374e+03,3.450e+01,-3.450e+01,0.269659,1.620733e+01,-1.990160e-01,0.03494,13.00452,-0.00765,23.88,5.100e+00,-2.350e+00,0.0403,,,1079.0,,,319.76,222.81,-92.63,5450.00,197.00,-180.00,4.552,0.045,-0.135,0.8110,0.1730,-0.0800,0.8570,0.0910,-0.0910
299,9334289,K00934.01,CONFIRMED,CANDIDATE,1.0000,5.826657508,6.4340000e-06,-6.4340000e-06,2.91830,0.03210,-0.03210,1.5391e+03,2.090e+01,-2.090e+01,0.035356,7.290000e-04,-3.710000e-04,2.19595,0.01722,-0.59593,4.09,6.000e-01,-4.900e-01,0.0622,,,1013.0,,,248.57,96.56,-67.24,5561.00,75.00,-83.00,4.362,0.126,-0.103,1.0600,0.1560,-0.1270,0.9430,0.0620,-0.0480
300,9334289,K00934.02,CONFIRMED,CANDIDATE,0.9980,12.412163470,5.7120000e-05,-5.7120000e-05,3.73900,0.11100,-0.11100,6.1130e+02,2.600e+01,-2.600e+01,0.022270,9.900000e-04,-5.470000e-04,2.14038,0.25781,-0.70942,2.58,3.800e-01,-3.100e-01,0.1030,,,787.0,,,90.65,35.21,-24.52,5561.00,75.00,-83.00,4.362,0.126,-0.103,1.0600,0.1560,-0.1270,0.9430,0.0620,-0.0480
301,9334289,K00934.03,CONFIRMED,CANDIDATE,1.0000,18.746490110,8.7630000e-05,-8.7630000e-05,3.89500,0.12700,-0.12700,7.9680e+02,3.280e+01,-3.280e+01,0.026327,2.980000e-04,-1.573000e-03,1.89670,1.33785,-0.12134,3.05,4.500e-01,-3.700e-01,0.1355,,,686.0,,,52.38,20.34,-14.17,5561.00,75.00,-83.00,4.362,0.126,-0.103,1.0600,0.1560,-0.1270,0.9430,0.0620,-0.0480
302,9347899,K00935.01,CONFIRMED,CANDIDATE,1.0000,20.860212290,2.3860000e-05,-2.3860000e-05,5.19370,0.03350,-0.03350,1.9105e+03,1.750e+01,-1.750e+01,0.040067,5.130000e-04,-2.140000e-04,1.40526,0.01397,-0.26033,5.50,8.200e-01,-1.090e+00,0.1462,,,781.0,,,87.76,37.54,-35.79,6035.00,120.00,-120.00,4.220,0.168,-0.112,1.2570,0.1870,-0.2500,0.9580,0.0760,-0.0680
303,9347899,K00935.02,CONFIRMED,CANDIDATE,1.0000,42.634278480,7.6740000e-05,-7.6740000e-05,6.19980,0.05350,-0.05350,1.7193e+03,2.280e+01,-2.280e+01,0.038058,5.330000e-04,-3.520000e-04,1.64062,0.07418,-0.27254,5.22,7.800e-01,-1.030e+00,0.2355,,,615.0,,,33.82,14.47,-13.79,6035.00,120.00,-120.00,4.220,0.168,-0.112,1.2570,0.1870,-0.2500,0.9580,0.0760,-0.0680
304,9347899,K00935.03,CONFIRMED,CANDIDATE,0.9730,87.647606800,4.1970000e-04,-4.1970000e-04,8.87100,0.12800,-0.12800,1.0096e+03,2.740e+01,-2.740e+01,0.029163,7.960000e-04,-5.100000e-04,1.11917,0.07438,-0.30200,4.00,6.000e-01,-7.900e-01,0.3807,,,484.0,,,12.94,5.54,-5.27,6035.00,120.00,-120.00,4.220,0.168,-0.112,1.2570,0.1870,-0.2500,0.9580,0.0760,-0.0680
305,9347899,K00935.04,CANDIDATE,CANDIDATE,0.9750,9.617314260,3.3500000e-05,-3.3500000e-05,3.86920,0.07720,-0.07720,2.3400e+02,1.360e+01,-1.360e+01,0.014160,5.030000e-04,-5.300000e-04,1.23550,0.34241,-0.20173,1.94,2.900e-01,-3.800e-01,0.0873,,,1010.0,,,246.13,105.29,-100.36,6035.00,120.00,-120.00,4.220,0.168,-0.112,1.2570,0.1870,-0.2500,0.9580,0.0760,-0.0680
306,9388479,K00936.01,CONFIRMED,CANDIDATE,0.9530,9.467821474,6.1290000e-06,-6.1290000e-06,2.43270,0.02210,-0.02210,2.2370e+03,1.980e+01,-1.980e+01,0.042684,6.550000e-04,-3.170000e-04,6.23401,0.14900,-1.23339,2.13,1.900e-01,-2.500e-01,0.0691,,,407.0,,,6.47,1.81,-1.94,3582.00,71.00,-89.00,4.807,0.050,-0.045,0.4580,0.0400,-0.0550,0.4910,0.0340,-0.0630
307,9388479,K00936.02,CONFIRMED,CANDIDATE,0.7040,0.893040969,4.6100000e-07,-4.6100000e-07,1.09810,0.01590,-0.01590,7.4170e+02,1.020e+01,-1.020e+01,0.024717,6.000000e-04,-2.740000e-04,6.20000,0.18736,-1.67580,1.24,1.000e-01,-1.500e-01,0.0143,,,893.0,,,151.14,42.14,-45.33,3582.00,71.00,-89.00,4.807,0.050,-0.045,0.4580,0.0400,-0.0550,0.4910,0.0340,-0.0630
308,11359879,K00128.01,CONFIRMED,CANDIDATE,0.9960,4.942783419,2.4700000e-07,-2.4700000e-07,3.25346,0.00605,-0.00605,1.1145e+04,6.700e+00,-6.700e+00,0.099444,1.940000e-04,-2.110000e-04,1.02216,0.02262,-0.02145,10.62,1.440e+00,-7.300e-01,0.0569,,,1008.0,,,244.42,94.02,-48.62,5514.00,98.00,-109.00,4.459,0.051,-0.110,0.9780,0.1330,-0.0670,1.0030,0.0460,-0.0610
309,9406990,K00937.01,CONFIRMED,CANDIDATE,1.0000,20.834267310,5.3580000e-05,-5.3580000e-05,4.04540,0.06940,-0.06940,9.8840e+02,2.500e+01,-2.500e+01,0.028495,6.730000e-04,-6.590000e-04,2.62459,0.34642,-0.70051,2.74,6.900e-01,-2.200e-01,0.1483,,,595.0,,,29.62,22.56,-7.35,5537.00,166.00,-166.00,4.549,0.030,-0.170,0.8800,0.2210,-0.0690,0.9990,0.0670,-0.1170
310,9415172,K00938.01,CONFIRMED,CANDIDATE,1.0000,9.946023570,2.0700000e-05,-2.0700000e-05,3.38620,0.05570,-0.05570,9.9450e+02,2.050e+01,-2.050e+01,0.028229,9.430000e-04,-3.910000e-04,2.34688,0.13113,-0.68956,3.12,4.400e-01,-4.300e-01,0.0864,,,807.0,,,100.34,37.85,-30.34,5344.00,80.00,-80.00,4.365,0.132,-0.096,1.0130,0.1410,-0.1410,0.8670,0.0640,-0.0320
311,9415172,K00938.02,CONFIRMED,CANDIDATE,0.9980,1.045621950,2.7170000e-06,-2.7170000e-06,1.89550,0.07250,-0.07250,2.1300e+02,9.700e+00,-9.700e+00,0.013092,5.940000e-04,-3.630000e-04,1.38246,0.05022,-0.61246,1.45,2.000e-01,-2.000e-01,0.0192,,,1710.0,,,2031.84,766.47,-614.41,5344.00,80.00,-80.00,4.365,0.132,-0.096,1.0130,0.1410,-0.1410,0.8670,0.0640,-0.0320
312,9415172,K00938.03,CONFIRMED,CANDIDATE,0.9490,5.714623960,3.2500000e-05,-3.2500000e-05,2.33600,0.12400,-0.12400,2.9780e+02,1.980e+01,-1.980e+01,0.016046,3.710000e-04,-1.090000e-03,2.60833,2.17042,-0.13313,1.78,2.400e-01,-2.500e-01,0.0597,,,971.0,,,210.16,79.27,-63.55,5344.00,80.00,-80.00,4.365,0.132,-0.096,1.0130,0.1410,-0.1410,0.8670,0.0640,-0.0320
313,9904059,K00145.01,FALSE POSITIVE,FALSE POSITIVE,1.0000,102.964195200,5.7660000e-04,-5.7660000e-04,15.73500,0.26300,-0.26300,1.8967e+03,2.730e+01,-2.730e+01,0.050162,5.550000e-04,-8.140000e-04,0.02838,0.00311,-0.00288,39.00,1.100e+00,-9.390e+00,0.5554,,,797.0,,,95.40,8.70,-47.04,5047.00,40.00,-160.00,3.066,0.033,-0.027,7.1190,0.2010,-1.7130,2.1500,0.0500,-0.8580
314,3231341,K01102.02,CONFIRMED,CANDIDATE,1.0000,8.145159810,4.3800000e-05,-4.3800000e-05,5.07300,0.51300,-0.51300,4.4680e+02,1.740e+01,-1.740e+01,0.025296,1.749000e-03,-5.273000e-03,0.02385,0.67976,-0.01315,3.43,5.000e-01,-7.000e-01,0.0760,,,1050.0,,,287.91,122.25,-117.46,5896.00,117.00,-105.00,4.197,0.195,-0.105,1.2400,0.1830,-0.2510,0.8840,0.0730,-0.0540
315,3231341,K01102.03,CONFIRMED,CANDIDATE,1.0000,18.998527900,1.7990000e-04,-1.7990000e-04,4.52900,0.33300,-0.33300,4.3070e+02,2.900e+01,-2.900e+01,0.318792,7.313847e+01,-6.931319e+00,0.02026,50.42672,-0.21617,43.17,6.370e+00,-8.740e+00,0.1337,,,792.0,,,93.03,39.50,-37.96,5896.00,117.00,-105.00,4.197,0.195,-0.105,1.2400,0.1830,-0.2510,0.8840,0.0730,-0.0540
316,3231341,K01102.04,CONFIRMED,CANDIDATE,0.9990,4.244390490,2.7170000e-05,-2.7170000e-05,3.28200,0.13500,-0.13500,1.7400e+02,1.270e+01,-1.270e+01,0.015253,2.150000e-04,-3.249000e-03,0.05258,1.32124,-0.00963,2.07,3.000e-01,-4.200e-01,0.0492,,,1305.0,,,686.99,291.72,-280.28,5896.00,117.00,-105.00,4.197,0.195,-0.105,1.2400,0.1830,-0.2510,0.8840,0.0730,-0.0540
317,2860866,K01103.01,CANDIDATE,CANDIDATE,1.0000,90.124050700,4.4330000e-04,-4.4330000e-04,11.64900,0.28000,-0.28000,3.0203e+03,5.750e+01,-5.750e+01,0.053684,4.107000e-03,-2.671000e-03,0.23661,0.31682,-0.04358,7.12,2.410e+00,-8.000e-01,0.4270,,,485.0,,,13.09,13.03,-4.26,6520.00,180.00,-248.00,4.375,0.056,-0.224,1.2150,0.4100,-0.1370,1.2790,0.1650,-0.2020
318,7626506,K00150.02,CONFIRMED,CANDIDATE,1.0000,28.574269200,4.0600000e-05,-4.0600000e-05,4.94270,0.04030,-0.04030,8.2490e+02,9.200e+00,-9.200e+00,0.026109,5.270000e-04,-2.310000e-04,2.14286,0.10772,-0.47378,2.32,1.900e-01,-2.000e-01,0.1681,,,538.0,,,19.83,5.49,-4.56,5551.00,111.00,-111.00,4.508,0.077,-0.063,0.8120,0.0700,-0.0700,0.7760,0.0580,-0.0390
319,10460629,K01168.01,CANDIDATE,CANDIDATE,,856.672115000,9.5910000e-03,-9.5910000e-03,23.14400,0.28700,-0.28700,8.5810e+02,2.770e+01,-2.770e+01,0.027062,6.890000e-04,-4.180000e-04,0.61949,0.02736,-0.13324,3.87,1.940e+00,-7.500e-01,1.8045,,,242.0,,,0.81,1.22,-0.35,6449.00,163.00,-210.00,4.232,0.163,-0.270,1.3090,0.6560,-0.2540,1.0630,0.2530,-0.1190
320,10319385,K01169.01,CANDIDATE,CANDIDATE,1.0000,0.689210173,4.5000000e-07,-4.5000000e-07,1.61690,0.01790,-0.01790,1.9500e+02,2.400e+00,-2.400e+00,0.012649,2.520000e-04,-1.970000e-04,1.45015,0.06910,-0.38473,1.32,1.900e-01,-6.000e-02,0.0156,,,1943.0,,,3362.71,1364.69,-528.86,5630.00,100.00,-122.00,4.505,0.023,-0.128,0.9540,0.1380,-0.0390,1.0640,0.0420,-0.0730
321,10482160,K01170.01,CONFIRMED,CANDIDATE,0.9650,7.343739640,1.1340000e-05,-1.1340000e-05,1.17840,0.04660,-0.04660,5.7440e+02,2.180e+01,-2.180e+01,0.022075,6.660000e-04,-6.780000e-04,38.44106,5.59104,-14.01212,1.84,4.000e-01,-1.400e-01,0.0697,,,839.0,,,117.50,77.15,-27.07,5757.00,155.00,-155.00,4.597,0.036,-0.144,0.7620,0.1680,-0.0560,0.8650,0.0870,-0.0960
322,10485069,K01171.01,FALSE POSITIVE,FALSE POSITIVE,,0.445277068,1.4340000e-06,-1.4340000e-06,3.53900,0.27600,-0.27600,1.8670e+02,7.800e+00,-7.800e+00,0.307625,2.257140e-01,-1.224870e-01,0.21525,0.05002,-0.10749,35.74,1.408e+01,-3.490e+00,0.0120,,,2562.0,,,10177.11,11671.33,-2940.16,6167.00,156.00,-205.00,4.444,0.045,-0.264,1.0640,0.4190,-0.1040,1.1490,0.2060,-0.1650
323,3233043,K00966.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.379463865,2.8000000e-08,-2.8000000e-08,0.86896,0.00507,-0.00507,1.9733e+03,5.800e+00,-5.800e+00,0.305894,6.219310e-01,-6.070300e-02,0.78464,0.96062,-0.06118,59.56,3.457e+01,-3.805e+01,0.0099,,,3000.0,,,19256.81,34212.39,-17030.52,5075.00,136.00,-151.00,3.892,0.707,-0.303,1.7830,1.0350,-1.1390,0.9050,0.1660,-0.1490
324,6579806,K00967.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,9.880479780,1.5530000e-06,-1.5530000e-06,2.78458,0.00644,-0.00644,1.8541e+04,3.660e+01,-3.660e+01,0.235723,2.021320e-01,-3.017100e-02,1.31266,0.24562,-0.05424,23.60,7.060e+00,-2.340e+00,0.0901,,,860.0,,,129.45,113.32,-37.50,6113.00,164.00,-200.00,4.512,0.052,-0.208,0.9170,0.2740,-0.0910,0.9970,0.1300,-0.1300
325,3560301,K00968.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,4.648415600,7.8450000e-05,-7.8450000e-05,38.19390,0.00000,0.00000,1.2840e+02,2.400e+00,-2.400e+00,0.013299,3.050000e-04,-8.840000e-04,0.00095,0.00006,-0.00005,5.06,5.200e-01,-2.100e+00,0.0647,,,2259.0,,,6152.88,2089.66,-4314.89,6980.00,167.00,-230.00,3.577,0.352,-0.088,3.4820,0.3620,-1.4470,1.6710,0.2030,-0.3770
326,4044005,K00969.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,17.512014768,3.2160000e-06,-3.2160000e-06,1.82480,0.00727,-0.00727,4.5117e+03,1.390e+01,-1.390e+01,0.110483,2.086550e-01,-5.509000e-03,2.95602,0.02690,-0.63522,13.66,4.260e+00,-2.300e+00,0.1320,,,804.0,,,98.77,93.77,-40.37,6224.00,197.00,-241.00,4.330,0.144,-0.192,1.1320,0.3530,-0.1900,0.9980,0.1730,-0.1150
327,11502218,K00970.01,CANDIDATE,CANDIDATE,0.0000,3.988602100,8.0340000e-06,-8.0340000e-06,1.73760,0.05880,-0.05880,6.7350e+02,2.180e+01,-2.180e+01,0.023067,8.670000e-04,-4.890000e-04,6.84280,0.45189,-2.38830,34.39,4.710e+00,-1.099e+01,0.0622,,,3145.0,,,23135.72,8030.46,-13457.76,4813.00,50.00,-121.00,2.472,0.156,-0.117,13.6520,1.8690,-4.3610,2.0160,0.7690,-0.8460
328,11180361,K00971.01,CANDIDATE,CANDIDATE,1.0000,0.533059312,,,1.86210,,,1.4958e+03,,,0.301918,0.000000e+00,0.000000e+00,0.20416,0.00000,0.00000,133.56,2.598e+01,-7.791e+01,0.0167,,,5862.0,,,277887.70,170694.09,-236607.72,8523.00,267.00,-326.00,3.559,0.639,-0.071,4.0510,0.7880,-2.3630,2.1660,0.3770,-0.7000
329,5802246,K01044.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.525154153,3.0800000e-07,-3.0800000e-07,2.14410,0.02970,-0.02970,7.4750e+02,8.100e+00,-8.100e+00,0.255581,4.776730e-01,-1.573850e-01,0.16400,0.23482,-0.04764,23.61,5.280e+00,-2.850e+00,0.0119,,,2073.0,,,4391.51,3014.22,-1350.21,5582.00,169.00,-152.00,4.497,0.081,-0.150,0.8460,0.1890,-0.1020,0.8190,0.1060,-0.0710
330,6066403,K01045.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.303861044,1.1920000e-06,-1.1920000e-06,4.05410,0.03790,-0.03790,5.9820e+02,5.100e+00,-5.100e+00,0.282709,3.302670e-01,-1.714250e-01,0.03107,0.02566,-0.00856,27.85,7.530e+00,-3.250e+00,0.0224,,,1610.0,,,1595.19,1268.41,-478.56,5758.00,155.00,-155.00,4.475,0.078,-0.182,0.9020,0.2440,-0.1050,0.8870,0.1100,-0.0900
331,6209637,K01046.01,FALSE POSITIVE,FALSE POSITIVE,,0.734524960,,,6.70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,5988031,K01047.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.555491760,3.0520000e-05,-3.0520000e-05,9.08300,0.50700,-0.50700,1.1380e+02,5.600e+00,-5.600e+00,0.237273,6.051370e-01,-1.066060e-01,0.00596,0.01192,-0.00219,23.35,7.020e+00,-2.340e+00,0.0360,,,1312.0,,,701.68,619.43,-198.24,5948.00,161.00,-178.00,4.508,0.050,-0.200,0.9010,0.2710,-0.0900,0.9540,0.1180,-0.1070
333,7684873,K00014.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.947376671,3.2280000e-06,-3.2280000e-06,2.09110,0.04370,-0.04370,4.3320e+02,8.500e+00,-8.500e+00,1.654364,1.097537e+01,-7.066740e-01,0.13115,7.12893,-0.08696,403.59,8.599e+01,-1.050e+02,0.0492,,,2404.0,,,7903.84,5082.12,-4259.41,8090.00,226.00,-340.00,4.002,0.198,-0.132,2.2340,0.4760,-0.5810,1.8280,0.1440,-0.3120
334,8559644,K00139.01,CONFIRMED,CANDIDATE,1.0000,224.778935500,2.5690000e-04,-2.5690000e-04,11.18990,0.09160,-0.09160,3.4875e+03,1.580e+01,-1.580e+01,0.056891,4.780000e-04,-8.220000e-04,0.77776,0.11878,-0.10789,7.67,1.330e+00,-1.200e+00,0.7456,,,333.0,,,2.92,1.36,-1.02,5873.00,93.00,-129.00,4.293,0.120,-0.120,1.2350,0.2130,-0.1940,1.0920,0.0800,-0.0890
335,2851100,K01104.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.890110752,2.2120000e-06,-2.2120000e-06,0.87740,0.09420,-0.09420,3.2150e+02,2.380e+01,-2.380e+01,0.016162,8.830000e-04,-9.580000e-04,10.98480,43.96416,-4.36819,1.25,1.200e-01,-7.000e-02,0.0167,,,1372.0,,,838.42,282.72,-175.25,4768.00,143.00,-129.00,4.628,0.020,-0.060,0.7110,0.0640,-0.0430,0.8150,0.0300,-0.0770
336,3130300,K01105.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,5.765733960,2.5840000e-05,-2.5840000e-05,2.92400,0.12200,-0.12200,2.4800e+02,1.320e+01,-1.320e+01,0.015428,2.777000e-03,-1.003000e-03,0.75629,1.39051,-0.63642,7.47,8.900e-01,-2.500e+00,0.0745,,,1964.0,,,3518.78,1136.62,-2053.98,5772.00,78.00,-86.00,3.364,0.256,-0.080,4.4340,0.5310,-1.4860,1.6570,0.1310,-0.3940
337,3240158,K01106.01,CONFIRMED,CANDIDATE,1.0000,7.426081230,1.8800000e-05,-1.8800000e-05,3.63790,0.06720,-0.06720,4.4330e+02,1.260e+01,-1.260e+01,0.019228,6.000000e-04,-3.450000e-04,1.36184,0.09081,-0.43109,2.47,3.900e-01,-2.300e-01,0.0778,,,1037.0,,,273.78,110.12,-60.87,6049.00,72.00,-91.00,4.353,0.076,-0.114,1.1760,0.1840,-0.1070,1.1400,0.0680,-0.0810
338,3240158,K01106.02,CONFIRMED,CANDIDATE,0.9890,15.986893200,2.8280000e-04,-2.8280000e-04,4.15800,0.53800,-0.53800,1.7850e+02,1.830e+01,-1.830e+01,0.012587,1.610000e-04,-1.423000e-03,1.19847,0.67010,-0.64968,1.62,2.500e-01,-1.500e-01,0.1297,,,803.0,,,98.51,39.62,-21.90,6049.00,72.00,-91.00,4.353,0.076,-0.114,1.1760,0.1840,-0.1070,1.1400,0.0680,-0.0810
339,3228959,K01107.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.730945890,2.4970000e-06,-2.4970000e-06,4.32000,0.20000,-0.20000,2.5020e+02,8.300e+00,-8.300e+00,0.184858,1.093880e-01,-1.616430e-01,0.06136,0.01790,-0.02050,17.12,5.060e+00,-1.600e+00,0.0155,,,1922.0,,,3248.17,2815.61,-909.69,5901.00,158.00,-193.00,4.553,0.036,-0.204,0.8480,0.2510,-0.0790,0.9380,0.1050,-0.1170
340,3218908,K01108.01,CONFIRMED,CANDIDATE,1.0000,18.925372460,5.2310000e-05,-5.2310000e-05,3.98350,0.06830,-0.06830,6.4090e+02,1.650e+01,-1.650e+01,0.026104,2.624000e-03,-3.110000e-03,0.64877,1.77807,-0.20654,13.92,2.000e+00,-4.660e+00,0.1694,,,1171.0,,,443.58,159.79,-265.44,4941.00,49.00,-118.00,3.317,0.210,-0.105,4.8850,0.7010,-1.6360,1.8080,0.1810,-0.5780
341,10341913,K01172.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.933749106,1.1960000e-06,-1.1960000e-06,4.25600,0.79600,-0.79600,1.8620e+02,1.280e+01,-1.280e+01,0.013481,8.088600e-02,-7.040000e-04,0.06501,0.02610,-0.03451,3.22,6.100e-01,-1.050e+00,0.0201,,,2863.0,,,15822.49,9139.53,-9373.75,6215.00,171.00,-171.00,3.849,0.293,-0.098,2.1880,0.4150,-0.7110,1.2330,0.2420,-0.2200
342,10480921,K01173.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.037440623,9.6760000e-06,-9.6760000e-06,3.44200,0.12700,-0.12700,1.1860e+02,5.200e+00,-5.200e+00,0.010693,1.734000e-03,-6.720000e-04,0.16877,0.25327,-0.13723,1.19,3.600e-01,-1.600e-01,0.0312,,,1572.0,,,1448.05,1305.68,-494.54,6253.00,169.00,-207.00,4.415,0.087,-0.203,1.0150,0.3120,-0.1340,0.9750,0.1350,-0.1110
